sku;Brand;Description;Final_price;Original_price;Discount;Regular_price;Regular_price_measure;Regular_price_un;timestamp
388980;QUAKER;Quaker Avena Instantanea X500g;1568.0;;;3.14;1;kg;2023-12-27 14:41:54.478
46463;CACHAFAZ;Conito Cachafaz De Chocolote 228 Gr;3434.0;;;15061.4;1;kg;2023-12-27 14:41:54.478
10281;SHOT;Chocolate Con Maní Shot 35g;407.0;;;1162.86;100;gr;2023-12-27 14:41:54.478
30583;GRANIX;Copos De Maíz Tradicionales Granix 400 Gr;780.55;;;1951.38;1;kg;2023-12-27 14:41:54.478
386142;ARTESANO;Pan De Panchos Bimbo Artesano X 6u;1419.0;;;5912.5;1;kg;2023-12-27 14:41:54.478
340586;LA CAMPAGNOLA;Mermelada La Campagnola Aranda X390g Bc;1816.0;;;4656.41;1;kg;2023-12-27 14:41:54.478
386144;BIMBO;Pan De Papa De Hamburguesa Artesano X 4u;1658.0;;;6908.33;1;kg;2023-12-27 14:41:54.478
388367;9 DE ORO;Bizcochos 9 De Oro Agridulces 100g;448.0;;;4480.0;1;kg;2023-12-27 14:41:54.478
2738;HOJALMAR;Galletitas Hojalmar Triangulitos De Hojaldre 150 Gr;414.0;;;2760.0;1;kg;2023-12-27 14:41:54.478
312506;STARBUCKS;Starbucks® Nespresso® Blonde Espresso X 10un;4185.47;;;418.55;1;un;2023-12-27 14:41:54.478
403594;MATARAZZO;Fideos Matarazzo Penne X500g;1110.0;;;2220.0;1;kg;2023-12-27 14:41:54.478
395228;LINCOLN;Galletitas Lincoln Clasicas X219g;708.0;;;3218.18;1;kg;2023-12-27 14:41:54.478
24634;DOS ANCLAS;Sal Gruesa Dos Anclas 500 Gr;436.0;;;872.0;1;kg;2023-12-27 14:41:54.478
387756;OREO;Galletitas Dulces Rellenas Con Crema Sabor Frutilla Oreo 118g;386.1;594.0;-35%;5033.9;1;kg;2023-12-27 14:41:54.478
238076;FRANCE;Pan Dulce France Con Frutas Paquete 400 Grs.;719.4;1199.0;-40%;2997.5;1;kg;2023-12-27 14:41:54.478
395373;LAY´S;Papas Fritas Lays Jamon Serrano X77g;1588.0;;;19850.0;1;kg;2023-12-27 14:41:54.478
387672;FARGO;Pan Mix De Cereales Fargo X 400g;2158.0;;;5395.0;1;kg;2023-12-27 14:41:54.478
44495;BAGLEY;Alfajor Triple Negro Bob 60 Gr;587.0;;;9783.33;1;kg;2023-12-27 14:41:54.478
42451;DUQUESA;Galletitas Dulces Rellenas Con Crema Duquesa De Terrabusi 115g;202.0;;;1756.52;1;kg;2023-12-27 14:41:54.478
318821;HOGAREÑAS;Galletitas Hogareñas Salvado 200g;416.0;;;2080.0;1;kg;2023-12-27 14:41:54.478
340587;LA CAMPAGNOLA;Mermelada La Campagnola Ciruela X390g Bc;1135.0;;;2910.26;1;kg;2023-12-27 14:41:54.478
331138;TARAGUI;Té Taragui S/e Filtro Diamantado X 50saq;735.89;;;7358.9;1;kg;2023-12-27 14:41:54.478
343442;CUISINE & CO NBE MP;Jardinera Cuisine & Co 300gr;687.0;;;3122.73;1;kg;2023-12-27 14:41:54.478
386166;ROYAL;Gelatina Royal Frutilla Regular 25g;246.0;;;984.0;100;gr;2023-12-27 14:41:54.478
298427;Maxima MP;Atún Desmenuzado Maxima Te Conviene En Agua Y En Aceite 120 Gr;1215.0;;;10125.0;1;kg;2023-12-27 14:41:54.478
309435;CUISINE & CO NBE MP;Mermelada De Durazno Cuisine & Co;776.41;;;1706.4;1;kg;2023-12-27 14:41:54.478
46442;CASALTA;Aceto Balsámico Casalta Redución 400 Ml;3761.43;;;9403.58;1;lt;2023-12-27 14:41:54.478
386821;LACTAL;Pan Blanco Lactal X 315g;1268.0;;;4090.32;1;kg;2023-12-27 14:41:54.478
395580;BIMBO;Pan Blanco Bimbo X 400g;1960.0;;;4900.0;1;kg;2023-12-27 14:41:54.478
308296;CUISINE & CO NBE MP;Tu Polenta - Harina De Maiz Instantanea;366.45;;;732.9;1;kg;2023-12-27 14:41:54.478
306201;CUISINE & CO NBE MP;Galletitas Con Avena Y Pasas 186gr C&c;789.73;;;4245.86;1;kg;2023-12-27 14:41:54.478
306208;CUISINE & CO NBE MP;Galletitas C/chips Chocolate 186grc&c;789.73;;;4245.86;1;kg;2023-12-27 14:41:54.478
258198;HEINZ;Mayonesa Heinz 350gr;976.0;;;2772.73;1;kg;2023-12-27 14:41:54.478
4783;MOGUL;Gomitas Mogul Conitos 1 Kg;4990.0;;;4990.0;1;kg;2023-12-27 14:41:54.478
389911;ROYAL;Flan Royal Vainilla 60g;151.0;;;2516.67;1;kg;2023-12-27 14:41:54.478
27836;BARILLA;Fideos Spaghetti Barilla 500 Gr;5868.15;;;11736.3;1;kg;2023-12-27 14:41:54.478
330330;CUISINE & CO NBE MP;Pionono Vainilla Cuisine & Co 200gr;1350.96;;;6754.8;1;kg;2023-12-27 14:41:54.478
403670;LUCHETTI;Fideos Lucchetti Mostachol N51 X500g;1026.0;;;2052.0;1;kg;2023-12-27 14:41:54.478
329810;BELDENT;Chicle Sabor Chicle Globo Beldent 20g;400.0;;;4000.0;100;gr;2023-12-27 14:41:54.478
245363;DOS HERMANOS;Galleta De Arroz Slim Dos Hermanos Salada X100 Gr;545.13;;;5451.3;1;kg;2023-12-27 14:41:54.478
331007;CBSE;Yerba Mate Cbsé Hierbas Serranas X500g;1555.85;;;3111.7;1;kg;2023-12-27 14:41:54.478
343445;CUISINE & CO NBE MP;Choclo S/sal Agregada Cuisine & Co 300gr;1120.0;;;5463.41;1;kg;2023-12-27 14:41:54.478
342227;CUISINE & CO NBE MP;Lentejas Secas Cuisine & Co 400gr;1026.17;;;2565.43;1;kg;2023-12-27 14:41:54.478
399828;MAGGI;Maggi® Puré Original X 100gr;572.16;;;5721.6;1;kg;2023-12-27 14:41:54.478
306168;CUISINE & CO NBE MP;Tostadas De Arroz Aireadas 110 Gr C&co;665.48;;;6049.82;1;kg;2023-12-27 14:41:54.478
330894;TITA;Tita Clásica 19g;276.0;;;1452.63;100;gr;2023-12-27 14:41:54.478
320479;TARAGUI;Mate Cocido Taragui S/e F.diamantado 4x100x3gr;1852.02;;;6173.4;1;kg;2023-12-27 14:41:54.478
331011;CBSE;Yerba Mate Cbsé Naranja X500g;1555.85;;;3111.7;1;kg;2023-12-27 14:41:54.478
330327;CUISINE & CO NBE MP;Pionono Salado Cuisine & Co;1350.96;;;6754.8;1;kg;2023-12-27 14:41:54.478
387759;VARIEDAD;Galletitas Dulces Variedad De Terrabusi Nuevo Mix 590g;1445.0;;;2408.33;1;kg;2023-12-27 14:41:54.478
32988;FRUTIGRAN;Galletitas Frutigran Con Chips De Chocolate 255 Gr;774.52;;;3037.33;1;kg;2023-12-27 14:41:54.478
384164;CUISINE & CO NBE MP;Madalenas Vainilla Con Dulce De Leche C&co 180 Gr;776.88;;;4316.0;1;kg;2023-12-27 14:41:54.478
24023;MILK;Alfajor Triple Milka Mousse Blanco 55g;586.0;;;10654.55;1;kg;2023-12-27 14:41:54.478
352424;CUISINE & CO NBE MP;Aceite De Oliva Virgen 500ml Cuisine & Co;7374.38;;;14748.76;1;lt;2023-12-27 14:41:54.478
351991;FLOW;Barra Flow Almendras Enteras Con Piso De Chocolate X30g;195.94;;;653.13;100;gr;2023-12-27 14:41:54.478
346855;LA VIRGINIA;Cafe La Virginia Capsulas Sutil X52g;3781.0;;;378.1;1;un;2023-12-27 14:41:54.478
312511;STARBUCKS;Starbucks® Nespresso® Espresso Roast X 10un;4185.47;;;418.55;1;un;2023-12-27 14:41:54.478
306789;Molinos Ala;Tostadas Arroz Molinos Ala Integ X150g;616.19;;;4107.93;1;kg;2023-12-27 14:41:54.478
6503;ROSAMONTE;Yerba Mate Rosamonte Con Palo Suave 500 Gr;1397.75;;;2795.5;1;kg;2023-12-27 14:41:54.478
338370;CUISINE & CO NBE MP;Sardinas En Aceite cuisine & Co 160gr;1763.55;;;16637.26;1;kg;2023-12-27 14:41:54.478
337042;ARCOR;Mermelada Arcor Damasco Fruta X454g;951.0;;;2094.71;1;kg;2023-12-27 14:41:54.478
255636;BON O BON;Bombones Bon O Bon Surtidos 255 Gr;2827.0;;;11086.27;1;kg;2023-12-27 14:41:54.478
392953;MAIZENA;Almidon De Maiz Maizena Sin Tacc X500g;856.0;;;1712.0;1;kg;2023-12-27 14:41:54.478
409102;Molinos Ala;Arroz Molinos Ala En Grano 1kg;1683.0;;;1683.0;1;kg;2023-12-27 14:41:54.478
