Brand;Description;Final_price;Original_price;Discount;Regular_price
PASEO;Galletitas Paseo Cinco Semillas 250gr;$431;;;Precio regular: $1.724 x kg
ARTESANO;Pan De Semillas Bimbo Artesano X 500g;$2.594;;;Precio regular: $5.188 x kg
MILKA;Bombón De Chocolate Milka Oreo 19g;$119,62;3x2;Llevando 3: $79.75 c/u;Precio regular: $629,58 x 100 gr.
DOS ANCLAS;Sal Fina Dos Anclas X500gr;$540;;;Precio regular: $1.080 x kg
FERRERO;Bombones Ferrero Rocher 3 U;$624,92;;;Precio regular: $1.644,53 x 100 gr.
OROWEAT;Pan Con Cereales Oroweat X 600g;$2.891;;;Precio regular: $4.818,33 x kg
CELUSAL;Sal Fina Celusal 500 Gr;$397;;;Precio regular: $794 x kg
PRINGLES;Papas Pringles Crema Y Cebolla X124g;$1.856,96;;;Precio regular: $15.474,67 x kg
PRESTOPRONTA;Harina De Maíz Presto Pronta 500 Gr;$566;2x1;Llevando 2: $283.00 c/u;Precio regular: $1.132 x kg
MILKA;Alfajor Triple Milka Dulce De Leche 70g;$383,01;;;Precio regular: $5.471,57 x kg
RHODESIA;Oblea Rhodesia Clásica 4ux22g;$1.167;2x1;Llevando 2: $583.50 c/u;Precio regular: $13.261,36 x kg
CUISINE & CO NBE MP;Lentejas Cuisine & Co 300gr;$684;;;Precio regular: $3.336,59 x kg
CACHAFAZ;Galletitas Integral Cachafaz Avena Con Chips De Chocolate 225 Gr;$1.487;;;Precio regular: $6.608,89 x kg
CASERITA;Harina Caserita 000 1 Kg;$581;;;Precio regular: $581 x kg
ARTESANO;Pan De Panchos Bimbo Artesano X 6u;$1.200;;;Precio regular: $5.000 x kg
CUISINE & CO NBE MP;Champignones Laminados Cuisine & Co;$1.861;;;Precio regular: $8.091,3 x kg
VERDEFLOR;Yerba Mate Verdeflor Con Palo Hierbas 500 Gr;$968,6;$1.490,15;-35%;Precio regular: $2.980,3 x kg
LAY´S;Papas Fritas Lays Jamon Serrano X77g;$1.588;2do al 70%;Llevando 2: $1.032,2 c/u;Precio regular: $19.850 x kg
QUAKER;Quaker Avena Instantanea X500g;$1.568;;;Precio regular: $3,14 x kg
SHOT;Chocolate Con Maní Shot 35g;$407;3x2;Llevando 3: $271.33 c/u;Precio regular: $1.162,86 x 100 gr.
CACHAFAZ;Conito Cachafaz De Chocolote 228 Gr;$3.434;2x1;Llevando 2: $1717.00 c/u;Precio regular: $15.061,4 x kg
LA CAMPAGNOLA;Mermelada La Campagnola Aranda X390g Bc;$1.816;;;Precio regular: $4.656,41 x kg
JUMBO MP;Fideos Spaghetti Jumbo 500 Gr;$765;;;Precio regular: $1.530 x kg
GRANIX;Copos De Maíz Tradicionales Granix 400 Gr;$780,55;;;Precio regular: $1.951,38 x kg
STARBUCKS;Starbucks® Nespresso® Blonde Espresso X 10un;$4.185,47;;;Precio regular: $418,55 x un
9 DE ORO;Bizcochos 9 De Oro Agridulces 100g;$448;;;Precio regular: $4.480 x kg
DOS ANCLAS;Sal Gruesa Dos Anclas 500 Gr;$436;;;Precio regular: $872 x kg
LINCOLN;Galletitas Lincoln Clasicas X219g;$708;;;Precio regular: $3.218,18 x kg
FARGO;Pan Mix De Cereales Fargo X 400g;$1.658;;;Precio regular: $4.145 x kg
HOJALMAR;Galletitas Hojalmar Triangulitos De Hojaldre 150 Gr;$414;;;Precio regular: $2.760 x kg
MATARAZZO;Fideos Matarazzo Penne X500g;$1.110;;;Precio regular: $2.220 x kg
LA CAMPAGNOLA;Mermelada La Campagnola Ciruela X390g Bc;$1.135;;;Precio regular: $2.910,26 x kg
SWIFT;Picadillo De Carne Swift 90 Gr;$370;;;Precio regular: $4.111,11 x kg
BAGLEY;Alfajor Triple Negro Bob 60 Gr;$587;;;Precio regular: $9.783,33 x kg
HOGAREÑAS;Galletitas Hogareñas Salvado 200g;$416;;;Precio regular: $2.080 x kg
CUISINE & CO NBE MP;Jardinera Cuisine & Co 300gr;$687;;;Precio regular: $3.122,73 x kg
CASALTA;Aceto Balsámico Casalta Redución 400 Ml;$3.761,43;;;Precio regular: $9.403,58 x lt
OREO;Galletitas Dulces Rellenas Con Crema Sabor Frutilla Oreo 118g;Llevando 2: $NaN c/u;;;Precio regular: $5.033,9 x kg
TARAGUI;Té Taragui S/e Filtro Diamantado X 50saq;$735,89;;;Precio regular: $7.358,9 x kg
Maxima MP;Atún Desmenuzado Maxima Te Conviene En Agua Y En Aceite 120 Gr;$1.029;;;Precio regular: $8.575 x kg
LACTAL;Pan Blanco Lactal X 315g;$962;;;Precio regular: $3.103,23 x kg
CUISINE & CO NBE MP;Galletitas Con Avena Y Pasas 186gr C&c;$789,73;;;Precio regular: $4.245,86 x kg
BIMBO;Pan Blanco Bimbo X 400g;$1.508;;;Precio regular: $3.770 x kg
CUISINE & CO NBE MP;Tu Polenta - Harina De Maiz Instantanea;$366,45;;;Precio regular: $732,9 x kg
ROYAL;Gelatina Royal Frutilla Regular 25g;$246;;;Precio regular: $984 x 100 gr.
DUQUESA;Galletitas Dulces Rellenas Con Crema Duquesa De Terrabusi 115g;$202;;;Precio regular: $1.756,52 x kg
CUISINE & CO NBE MP;Galletitas C/chips Chocolate 186grc&c;$789,73;;;Precio regular: $4.245,86 x kg
CUISINE & CO NBE MP;Mermelada De Durazno Cuisine & Co;$776,41;;;Precio regular: $1.706,4 x kg
FRANCE;Pan Dulce France Con Frutas Paquete 400 Grs.;$719;-40%;$1.199;Precio regular: $2.997,5 x kg
BARILLA;Fideos Spaghetti Barilla 500 Gr;$5.868,15;;;Precio regular: $11.736,3 x kg
HEINZ;Mayonesa Heinz 350gr;Llevando 2: $NaN c/u;;;Precio regular: $2.772,73 x kg
MOGUL;Gomitas Mogul Conitos 1 Kg;$4.990;;;Precio regular: $4.990 x kg
ROYAL;Flan Royal Vainilla 60g;$151;;;Precio regular: $2.516,67 x kg
MANTECOL;Postre Mantecol Bajo En Sodio 404g;$3.816;2x1;Llevando 2: $1908.00 c/u;Precio regular: $9.445,54 x kg
FRUTIGRAN;Galletitas Frutigran Con Chips De Chocolate 255 Gr;$774,52;2do al 70%;Llevando 2: $503,44 c/u;Precio regular: $3.037,33 x kg
BELDENT;Chicle Sabor Chicle Globo Beldent 20g;$400;;;Precio regular: $4.000 x 100 gr.
CBSE;Yerba Mate Cbsé Hierbas Serranas X500g;$1.555,85;2do al 50%;Llevando 2: $1.166,89 c/u;Precio regular: $3.111,7 x kg
