Brand;Description;Final_price;Original_price;Discount;Regular_price;sku
OROWEAT;Pan Con Cereales Oroweat X 600g;$3.796;;;Precio regular: $6.326,67 x kg;381713
RHODESIA;Oblea Rhodesia Clásica 4ux22g;$1.167;;;Precio regular: $13.261,36 x kg;43295
FARGO;Pan Salvado Plus Fargo X 600g;$2.839;;;Precio regular: $4.731,67 x kg;387671
PASEO;Galletitas Paseo Cinco Semillas 250gr;$431;;;Precio regular: $1.724 x kg;329412
PRINGLES;Papas Pringles Crema Y Cebolla X124g;$1.856,96;;;Precio regular: $15.474,67 x kg;386819
LA ESPAÑOLA GOURMET;Lentejas La Española Gourmet 400 Gr;$803,45;;;Precio regular: $2.008,63 x kg;27436
BON O BON;Oblea Bañada Rhodesia 22gr;$305;;;Precio regular: $1.386,36 x 100 gr.;638
DORITOS;Nachos Doritos Sabor Queso X40g;$859;;;Precio regular: $2.147,5 x 100 gr.;394960
PRESTOPRONTA;Harina De Maíz Presto Pronta 500 Gr;$566;;;Precio regular: $1.132 x kg;40326
CELUSAL;Sal Fina Celusal 500 Gr;$397;;;Precio regular: $794 x kg;40423
DOS ANCLAS;Sal Fina Dos Anclas X500gr;$540;;;Precio regular: $1.080 x kg;24157
CASERITA;Harina Caserita 000 1 Kg;$581;;;Precio regular: $581 x kg;2219
ARTESANO;Pan De Semillas Bimbo Artesano X 500g;$3.406;;;Precio regular: $6.812 x kg;386147
MILKA;Alfajor Triple Milka Dulce De Leche 70g;$383,01;;;Precio regular: $5.471,57 x kg;3194
CACHAFAZ;Galletitas Integral Cachafaz Avena Con Chips De Chocolate 225 Gr;$1.487;;;Precio regular: $6.608,89 x kg;28193
CUISINE & CO NBE MP;Champignones Laminados Cuisine & Co;$1.861;;;Precio regular: $8.091,3 x kg;309249
VERDEFLOR;Yerba Mate Verdeflor Con Palo Hierbas 500 Gr;$968,6;$1.490,15;-35%;Precio regular: $2.980,3 x kg;13831
CUISINE & CO NBE MP;Lentejas Cuisine & Co 300gr;$684;;;Precio regular: $3.336,59 x kg;343441
JUMBO MP;Fideos Spaghetti Jumbo 500 Gr;$765;;;Precio regular: $1.530 x kg;14439
QUAKER;Quaker Avena Instantanea X500g;$1.568;;;Precio regular: $3,14 x kg;388980
CACHAFAZ;Conito Cachafaz De Chocolote 228 Gr;$3.434;;;Precio regular: $15.061,4 x kg;46463
SHOT;Chocolate Con Maní Shot 35g;$407;;;Precio regular: $1.162,86 x 100 gr.;10281
GRANIX;Copos De Maíz Tradicionales Granix 400 Gr;$780,55;;;Precio regular: $1.951,38 x kg;30583
ARTESANO;Pan De Panchos Bimbo Artesano X 6u;$1.419;;;Precio regular: $5.912,5 x kg;386142
LA CAMPAGNOLA;Mermelada La Campagnola Aranda X390g Bc;$1.816;;;Precio regular: $4.656,41 x kg;340586
BIMBO;Pan De Papa De Hamburguesa Artesano X 4u;$1.658;;;Precio regular: $6.908,33 x kg;386144
9 DE ORO;Bizcochos 9 De Oro Agridulces 100g;$448;;;Precio regular: $4.480 x kg;388367
HOJALMAR;Galletitas Hojalmar Triangulitos De Hojaldre 150 Gr;$414;;;Precio regular: $2.760 x kg;2738
STARBUCKS;Starbucks® Nespresso® Blonde Espresso X 10un;$4.185,47;;;Precio regular: $418,55 x un;312506
MATARAZZO;Fideos Matarazzo Penne X500g;$1.110;;;Precio regular: $2.220 x kg;403594
LINCOLN;Galletitas Lincoln Clasicas X219g;$708;;;Precio regular: $3.218,18 x kg;395228
DOS ANCLAS;Sal Gruesa Dos Anclas 500 Gr;$436;;;Precio regular: $872 x kg;24634
OREO;Galletitas Dulces Rellenas Con Crema Sabor Frutilla Oreo 118g;$386,1;$594;-35%;Precio regular: $5.033,9 x kg;387756
FRANCE;Pan Dulce France Con Frutas Paquete 400 Grs.;$719,4;$1.199;-40%;Precio regular: $2.997,5 x kg;238076
LAY´S;Papas Fritas Lays Jamon Serrano X77g;$1.588;;;Precio regular: $19.850 x kg;395373
FARGO;Pan Mix De Cereales Fargo X 400g;$2.158;;;Precio regular: $5.395 x kg;387672
BAGLEY;Alfajor Triple Negro Bob 60 Gr;$587;;;Precio regular: $9.783,33 x kg;44495
DUQUESA;Galletitas Dulces Rellenas Con Crema Duquesa De Terrabusi 115g;$202;;;Precio regular: $1.756,52 x kg;42451
HOGAREÑAS;Galletitas Hogareñas Salvado 200g;$416;;;Precio regular: $2.080 x kg;318821
LA CAMPAGNOLA;Mermelada La Campagnola Ciruela X390g Bc;$1.135;;;Precio regular: $2.910,26 x kg;340587
TARAGUI;Té Taragui S/e Filtro Diamantado X 50saq;$735,89;;;Precio regular: $7.358,9 x kg;331138
CUISINE & CO NBE MP;Jardinera Cuisine & Co 300gr;$687;;;Precio regular: $3.122,73 x kg;343442
ROYAL;Gelatina Royal Frutilla Regular 25g;$246;;;Precio regular: $984 x 100 gr.;386166
Maxima MP;Atún Desmenuzado Maxima Te Conviene En Agua Y En Aceite 120 Gr;$1.215;;;Precio regular: $10.125 x kg;298427
CUISINE & CO NBE MP;Mermelada De Durazno Cuisine & Co;$776,41;;;Precio regular: $1.706,4 x kg;309435
CASALTA;Aceto Balsámico Casalta Redución 400 Ml;$3.761,43;;;Precio regular: $9.403,58 x lt;46442
LACTAL;Pan Blanco Lactal X 315g;$1.268;;;Precio regular: $4.090,32 x kg;386821
BIMBO;Pan Blanco Bimbo X 400g;$1.960;;;Precio regular: $4.900 x kg;395580
CUISINE & CO NBE MP;Tu Polenta - Harina De Maiz Instantanea;$366,45;;;Precio regular: $732,9 x kg;308296
CUISINE & CO NBE MP;Galletitas Con Avena Y Pasas 186gr C&c;$789,73;;;Precio regular: $4.245,86 x kg;306201
CUISINE & CO NBE MP;Galletitas C/chips Chocolate 186grc&c;$789,73;;;Precio regular: $4.245,86 x kg;306208
HEINZ;Mayonesa Heinz 350gr;$976;;;Precio regular: $2.772,73 x kg;258198
MOGUL;Gomitas Mogul Conitos 1 Kg;$4.990;;;Precio regular: $4.990 x kg;4783
